Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Ms Bell,Liberal National Party of Queensland,No
Ms Belyea,Australian Labor Party,No
Mr Birrell,The Nationals,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Ms Chaney,Independent,Aye
Ms Chesters,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,No
Ms Kearney,Australian Labor Party,No
Mr Keogh,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Mr Watts,Australian Labor Party,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr Zappia,Australian Labor Party,No
