Member,Party,Vote
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Mr Burnell,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Mr Coleman,Liberal Party of Australia,No
Mr Conroy,Australian Labor Party,No
Ms Daniel,Independent,Aye
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Gillespie,The Nationals,No
Mr Goodenough,Liberal Party of Australia,No
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,No
Mr Joyce,The Nationals,No
Mr Katter,Katter's Australian Party,No
Mrs Marino,Liberal Party of Australia,No
Ms McBain,Australian Labor Party,No
Mr McCormack,The Nationals,No
Ms Miller-Frost ,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr Pasin,Liberal Party of Australia,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Ms Price,Liberal Party of Australia,No
Mr Rae,Australian Labor Party,No
Mr Ramsey,Liberal Party of Australia,No
Mr Repacholi,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Tink,Independent,Aye
Ms Watson-Brown,Australian Greens,Aye
Dr Webster,The Nationals,No
Mr Wilkie,Independent,Aye
Mr R Wilson,Liberal Party of Australia,No
