Member,Party,Vote
Mrs Archer,Liberal Party of Australia,Aye
Mr Bates,Australian Greens,No
Mr Burnell,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hill,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Ms Le,Independent,No
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Mr B Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Ms Payne,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Ms Templeman,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Ms Watson-Brown,Australian Greens,No
Mr Wilkie,Independent,No
Mr Wolahan,Liberal Party of Australia,Aye
Mr Zappia,Australian Labor Party,Aye
