Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Mr Birrell,The Nationals,Aye
Mr Burke,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Goodenough,Liberal Party of Australia,Aye
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,Aye
Mr Hastie,Liberal Party of Australia,Aye
Mr Joyce,The Nationals,Aye
Mr Katter,Katter's Australian Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Ley,Liberal Party of Australia,Aye
Mr Littleproud,Liberal National Party of Queensland,Aye
Mrs Marino,Liberal Party of Australia,Aye
Mr McCormack,The Nationals,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Price,Liberal Party of Australia,Aye
Mr Ramsey,Liberal Party of Australia,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Ms Sitou,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Tehan,Liberal Party of Australia,Aye
Ms Tink,Independent,No
Mr van Manen,Liberal National Party of Queensland,Aye
Ms Watson-Brown,Australian Greens,No
Dr Webster,The Nationals,Aye
Mr Wilkie,Independent,No
Mr Willcox,Liberal National Party of Queensland,Aye
Mr R Wilson,Liberal Party of Australia,Aye
