Member,Party,Vote
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Mr Entsch,Liberal National Party of Queensland,No
Ms Fernando,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Ms Kearney,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms Le,Independent,Aye
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Mr Shorten,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Mr Sukkar,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,No
Mr Thistlethwaite,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Ms Watson-Brown,Australian Greens,Aye
Dr Webster,The Nationals,No
Mr Wilkie,Independent,Aye
Mr Zappia,Australian Labor Party,No
