Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Mr Bates,Australian Greens,No
Mr Burnell,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Caldwell,Liberal National Party of Queensland,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Ms Collins,Australian Labor Party,Aye
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hill,Australian Labor Party,Aye
Mr Husic,Australian Labor Party,Aye
Ms Kearney,Australian Labor Party,Aye
Mr Khalil,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Ms Payne,Australian Labor Party,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Ms Plibersek,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Ms Swanson,Australian Labor Party,Aye
Ms Templeman,Australian Labor Party,Aye
Mr Thistlethwaite,Australian Labor Party,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Vasta,Liberal National Party of Queensland,Aye
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr J Wilson,Australian Labor Party,Aye
Mr Zappia,Australian Labor Party,Aye
