Member,Party,Vote
Mr Albanese,Australian Labor Party,Aye
Dr Aly,Australian Labor Party,Aye
Mrs Andrews,Liberal National Party of Queensland,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Mr Birrell,The Nationals,Aye
Mr Bowen,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Dr Chalmers,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,Aye
Mr Clare,Australian Labor Party,Aye
Ms Collins,Australian Labor Party,Aye
Mr Conaghan,The Nationals,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,Aye
Mr Dreyfus,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Mr Giles,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Dr Haines,Independent,Aye
Mr Hastie,Liberal Party of Australia,Aye
Mr Howarth,Liberal National Party of Queensland,Aye
Mr Husic,Australian Labor Party,Aye
Mr Jones,Australian Labor Party,Aye
Ms Kearney,Australian Labor Party,Aye
Mr Keogh,Australian Labor Party,Aye
Mr Khalil,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Mr Laxale,Australian Labor Party,Aye
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Mrs Marino,Liberal Party of Australia,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Mr O'Connor,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Pike,Liberal National Party of Queensland,Aye
Mr Pitt,Liberal National Party of Queensland,Aye
Ms Plibersek,Australian Labor Party,Aye
Mr Ramsey,Liberal Party of Australia,Aye
Dr Reid,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,Aye
Mr Shorten,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,Aye
Mr Stevens,Liberal Party of Australia,Aye
Mr Sukkar,Liberal Party of Australia,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,Aye
Mr Tudge,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Ms Wells,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr Willcox,Liberal National Party of Queensland,Aye
Mr J Wilson,Australian Labor Party,Aye
