Member,Party,Vote
Mrs Andrews,Liberal National Party of Queensland,No
Mrs Archer,Liberal Party of Australia,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Mr Birrell,The Nationals,No
Mr Bowen,Australian Labor Party,No
Mr Boyce,Liberal National Party of Queensland,No
Mr Broadbent,Liberal Party of Australia,No
Mr Buchholz,Liberal National Party of Queensland,No
Mr Burke,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Mr Butler,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,No
Mr Chester,The Nationals,No
Ms Chesters,Australian Labor Party,No
Mr Clare,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Mr Coleman,Liberal Party of Australia,No
Ms Collins,Australian Labor Party,No
Mr Conaghan,The Nationals,No
Mr Coulton,The Nationals,No
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Mr Goodenough,Liberal Party of Australia,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,No
Mr Hastie,Liberal Party of Australia,No
Mr Hawke,Liberal Party of Australia,No
Mr Hill,Australian Labor Party,No
Mr Hogan,The Nationals,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Joyce,The Nationals,No
Mr Katter,Katter's Australian Party,No
Mr Keogh,Australian Labor Party,No
Ms C King,Australian Labor Party,No
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Mr Leeser,Liberal Party of Australia,No
Dr Leigh,Australian Labor Party,No
Ms Ley,Liberal Party of Australia,No
Mr Littleproud,Liberal National Party of Queensland,No
Mrs Marino,Liberal Party of Australia,No
Ms Mascarenhas,Australian Labor Party,No
Mr McCormack,The Nationals,No
Mrs McIntosh,Liberal Party of Australia,No
Ms McKenzie,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Mr Morrison,Liberal Party of Australia,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr L O'Brien,Liberal National Party of Queensland,No
Mr O'Connor,Australian Labor Party,No
Ms O'Neil,Australian Labor Party,No
Mr Pasin,Liberal Party of Australia,No
Ms Payne,Australian Labor Party,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Price,Liberal Party of Australia,No
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Rishworth,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms Rowland,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,No
Mr Stevens,Liberal Party of Australia,No
Mr Sukkar,Liberal Party of Australia,No
Mr Taylor,Liberal Party of Australia,No
Mr Tehan,Liberal Party of Australia,No
Mr Thistlethwaite,Australian Labor Party,No
Mr Thompson,Liberal National Party of Queensland,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Mr van Manen,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Dr Webster,The Nationals,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr Willcox,Liberal National Party of Queensland,No
Mr Wolahan,Liberal Party of Australia,No
Mr Wood,Liberal Party of Australia,No
Mr Young,Liberal National Party of Queensland,No
Mr Zappia,Australian Labor Party,No
