Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Bell,Liberal National Party of Queensland,Aye
Mr Bowen,Australian Labor Party,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Dr Chalmers,Australian Labor Party,Aye
Mr Chandler-Mather ,Australian Greens,Aye
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,Aye
Ms Chesters,Australian Labor Party,Aye
Mr Clare,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Collins,Australian Labor Party,Aye
Mr Conroy,Australian Labor Party,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Gorman,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hill,Australian Labor Party,Aye
Mr Howarth,Liberal National Party of Queensland,Aye
Mr Husic,Australian Labor Party,Aye
Mr Katter,Katter's Australian Party,No
Ms C King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Ms Ley,Liberal Party of Australia,Aye
Mr Lim,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr O'Connor,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Perrett,Australian Labor Party,Aye
Ms Price,Liberal Party of Australia,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Mr Shorten,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Ms Swanson,Australian Labor Party,Aye
Ms Templeman,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Violi,Liberal Party of Australia,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,Aye
Ms Wells,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr Wolahan,Liberal Party of Australia,Aye
Mr Zappia,Australian Labor Party,Aye
