Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Mr Broadbent,Liberal Party of Australia,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Dr Charlton,Australian Labor Party,Aye
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Ms Daniel,Independent,No
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Katter,Katter's Australian Party,Aye
Ms Kearney,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,Aye
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms McKenzie,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr O'Connor,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Ms Swanson,Australian Labor Party,Aye
Ms Templeman,Australian Labor Party,Aye
Mr Thistlethwaite,Australian Labor Party,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Violi,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr Zappia,Australian Labor Party,Aye
