Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Mr Birrell,The Nationals,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Ms Daniel,Independent,No
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Gee,Independent,No
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hill,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr L O'Brien,Liberal National Party of Queensland,Aye
Ms Payne,Australian Labor Party,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Sukkar,Liberal Party of Australia,Aye
Mr Tehan,Liberal Party of Australia,Aye
Ms Templeman,Australian Labor Party,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Violi,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Ms Wells,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr J Wilson,Australian Labor Party,Aye
