Member,Party,Vote
Dr Aly,Australian Labor Party,No
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Bowen,Australian Labor Party,No
Mr Burke,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Mr Butler,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Ms Collins,Australian Labor Party,No
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,No
Mr Georganas,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,No
Mr Jones,Australian Labor Party,No
Ms Kearney,Australian Labor Party,No
Mr Keogh,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms C King,Australian Labor Party,No
Ms M. M. H. King,Australian Labor Party,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBain,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms McKenzie,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr O'Connor,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,No
Mr Stevens,Liberal Party of Australia,No
Ms Swanson,Australian Labor Party,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr J Wilson,Australian Labor Party,No
Mr Zappia,Australian Labor Party,No
