Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Dr Charlton,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Mr Entsch,Liberal National Party of Queensland,No
Ms Fernando,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Ms Payne,Australian Labor Party,No
Mr Perrett,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr Zappia,Australian Labor Party,No
