Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Andrews,Liberal National Party of Queensland,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Ms Bell,Liberal National Party of Queensland,Aye
Ms Belyea,Australian Labor Party,Aye
Mr Birrell,The Nationals,Aye
Mr Bowen,Australian Labor Party,Aye
Mr Boyce,Liberal National Party of Queensland,Aye
Mr Broadbent,Independent,Aye
Mr Buchholz,Liberal National Party of Queensland,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Caldwell,Liberal National Party of Queensland,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Mr Chester,The Nationals,Aye
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coleman,Liberal Party of Australia,Aye
Ms Collins,Australian Labor Party,Aye
Mr Conaghan,The Nationals,Aye
Mr Conroy,Australian Labor Party,Aye
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,Aye
Mr Dreyfus,Australian Labor Party,Aye
Mr Dutton,Liberal National Party of Queensland,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Dr Gillespie,The Nationals,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,Aye
Mr Hastie,Liberal Party of Australia,Aye
Mr Hawke,Liberal Party of Australia,Aye
Mr Hill,Australian Labor Party,Aye
Mr Hogan,The Nationals,Aye
Mr Howarth,Liberal National Party of Queensland,Aye
Mr Jones,Australian Labor Party,Aye
Mr Joyce,The Nationals,Aye
Ms Kearney,Australian Labor Party,Aye
Mr Kennedy,Liberal Party of Australia,Aye
Mr Keogh,Australian Labor Party,Aye
Mr Khalil,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,Aye
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Ms Ley,Liberal Party of Australia,Aye
Mr Lim,Australian Labor Party,Aye
Mr Littleproud,Liberal National Party of Queensland,Aye
Mrs Marino,Liberal Party of Australia,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Ms McKenzie,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Mr L O'Brien,Liberal National Party of Queensland,Aye
Mr O'Connor,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Pike,Liberal National Party of Queensland,Aye
Ms Price,Liberal Party of Australia,Aye
Mr Rae,Australian Labor Party,Aye
Mr Ramsey,Liberal Party of Australia,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Stevens,Liberal Party of Australia,Aye
Mr Sukkar,Liberal Party of Australia,Aye
Ms Swanson,Australian Labor Party,Aye
Mr Taylor,Liberal Party of Australia,Aye
Mr Tehan,Liberal Party of Australia,Aye
Ms Templeman,Australian Labor Party,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Vasta,Liberal National Party of Queensland,Aye
Mr Violi,Liberal Party of Australia,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Dr Webster,The Nationals,Aye
Mr Wilkie,Independent,No
Mr R Wilson,Liberal Party of Australia,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Wood,Liberal Party of Australia,Aye
Mr Young,Liberal National Party of Queensland,Aye
Mr Zappia,Australian Labor Party,Aye
