Member,Party,Vote
Mr Albanese,Australian Labor Party,No
Dr Aly,Australian Labor Party,No
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Mr Birrell,The Nationals,No
Mr Bowen,Australian Labor Party,No
Mr Burke,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Mr Butler,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Dr Chalmers,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,No
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Collins,Australian Labor Party,No
Mr Conroy,Australian Labor Party,No
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,No
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,No
Mr Hill,Australian Labor Party,No
Mr Husic,Australian Labor Party,No
Ms Kearney,Australian Labor Party,No
Mr Keogh,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms C King,Australian Labor Party,No
Ms M. M. H. King,Australian Labor Party,No
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Mr Marles,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBain,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr O'Connor,Australian Labor Party,No
Ms O'Neil,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Ms Plibersek,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Rishworth,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms Rowland,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,No
Mr Sukkar,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,No
Mr Thistlethwaite,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,No
Mr van Manen,Liberal National Party of Queensland,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr J Wilson,Australian Labor Party,No
Mr Wolahan,Liberal Party of Australia,No
Mr Zappia,Australian Labor Party,No
