Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Andrews,Liberal National Party of Queensland,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Ms Bell,Liberal National Party of Queensland,Aye
Ms Belyea,Australian Labor Party,Aye
Mr Bowen,Australian Labor Party,Aye
Mr Boyce,Liberal National Party of Queensland,Aye
Mr Buchholz,Liberal National Party of Queensland,Aye
Mr Burnell,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Caldwell,Liberal National Party of Queensland,Aye
Mr Chandler-Mather,Australian Greens,No
Mr Chester,The Nationals,Aye
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Mr Coleman,Liberal Party of Australia,Aye
Ms Collins,Australian Labor Party,Aye
Mr Conaghan,The Nationals,Aye
Mr Conroy,Australian Labor Party,Aye
Ms Doyle,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Mr Entsch,Liberal National Party of Queensland,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Dr Freelander,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Dr Gillespie,The Nationals,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,Aye
Mr Hastie,Liberal Party of Australia,Aye
Mr Hawke,Liberal Party of Australia,Aye
Mr Hogan,The Nationals,Aye
Mr Howarth,Liberal National Party of Queensland,Aye
Mr Jones,Australian Labor Party,Aye
Mr Kennedy,Liberal Party of Australia,Aye
Mr Khalil,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Mr Littleproud,Liberal National Party of Queensland,Aye
Mrs Marino,Liberal Party of Australia,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Ms McKenzie,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Mr L O'Brien,Liberal National Party of Queensland,Aye
Mr Pasin,Liberal Party of Australia,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mr Pike,Liberal National Party of Queensland,Aye
Mr Pitt,Liberal National Party of Queensland,Aye
Mr Rae,Australian Labor Party,Aye
Mr Ramsey,Liberal Party of Australia,Aye
Dr Reid,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,Aye
Mr Shorten,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Mr Stevens,Liberal Party of Australia,Aye
Mr Sukkar,Liberal Party of Australia,Aye
Ms Swanson,Australian Labor Party,Aye
Mr Taylor,Liberal Party of Australia,Aye
Mr Tehan,Liberal Party of Australia,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Thwaites,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Mr Vasta,Liberal National Party of Queensland,Aye
Mr Violi,Liberal Party of Australia,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Dr Webster,The Nationals,Aye
Ms Wells,Australian Labor Party,Aye
Mr Willcox,Liberal National Party of Queensland,Aye
Mr R Wilson,Liberal Party of Australia,Aye
Mr J Wilson,Australian Labor Party,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Young,Liberal National Party of Queensland,Aye
