Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Andrews,Liberal National Party of Queensland,Aye
Mrs Archer,Liberal Party of Australia,No
Mr Bates,Australian Greens,No
Mr Birrell,The Nationals,Aye
Mr Boyce,Liberal National Party of Queensland,Aye
Mr Burnell,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,Aye
Ms Chesters,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coleman,Liberal Party of Australia,Aye
Mr Conaghan,The Nationals,Aye
Mr Conroy,Australian Labor Party,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Dr Garland,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hawke,Liberal Party of Australia,Aye
Mr Katter,Katter's Australian Party,No
Ms Kearney,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,Aye
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Ms Ley,Liberal Party of Australia,Aye
Mr Littleproud,Liberal National Party of Queensland,Aye
Mrs Marino,Liberal Party of Australia,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Pike,Liberal National Party of Queensland,Aye
Mr Pitt,Liberal National Party of Queensland,Aye
Mr Ramsey,Liberal Party of Australia,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Stevens,Liberal Party of Australia,Aye
Mr Sukkar,Liberal Party of Australia,Aye
Ms Swanson,Australian Labor Party,Aye
Mr Taylor,Liberal Party of Australia,Aye
Mr Tehan,Liberal Party of Australia,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Watson-Brown,Australian Greens,No
Mr Wilkie,Independent,No
Mr Willcox,Liberal National Party of Queensland,Aye
Mr R Wilson,Liberal Party of Australia,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Young,Liberal National Party of Queensland,Aye
Mr Zappia,Australian Labor Party,Aye
