Member,Party,Vote
Mr Albanese,Australian Labor Party,Aye
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Andrews,Liberal National Party of Queensland,No
Mrs Archer,Liberal Party of Australia,No
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Ms Bell,Liberal National Party of Queensland,No
Mr Birrell,The Nationals,No
Mr Bowen,Australian Labor Party,Aye
Mr Boyce,Liberal National Party of Queensland,No
Mr Broadbent,Liberal Party of Australia,No
Mr Buchholz,Liberal National Party of Queensland,No
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Dr Chalmers,Australian Labor Party,Aye
Mr Chandler-Mather ,Australian Greens,No
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,Aye
Mr Chester,The Nationals,No
Ms Chesters,Australian Labor Party,Aye
Mr Clare,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coleman,Liberal Party of Australia,No
Ms Collins,Australian Labor Party,Aye
Mr Conaghan,The Nationals,No
Mr Conroy,Australian Labor Party,Aye
Mr Coulton,The Nationals,No
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mr Dutton,Liberal National Party of Queensland,No
Mrs Elliot,Australian Labor Party,Aye
Mr Entsch,Liberal National Party of Queensland,No
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Gee,The Nationals,No
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Dr Gillespie,The Nationals,No
Mr Goodenough,Liberal Party of Australia,No
Mr Gorman,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,No
Mr Hastie,Liberal Party of Australia,No
Mr Hawke,Liberal Party of Australia,No
Mr Hill,Australian Labor Party,Aye
Mr Hogan,The Nationals,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Husic,Australian Labor Party,Aye
Mr Jones,Australian Labor Party,Aye
Mr Joyce,The Nationals,No
Mr Katter,Katter's Australian Party,No
Ms Kearney,Australian Labor Party,Aye
Mr Keogh,Australian Labor Party,Aye
Mr Khalil,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Dr Leigh,Australian Labor Party,Aye
Ms Ley,Liberal Party of Australia,No
Mr Lim,Australian Labor Party,Aye
Mr Littleproud,Liberal National Party of Queensland,No
Mrs Marino,Liberal Party of Australia,No
Mr Marles,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,No
Mrs McIntosh,Liberal Party of Australia,No
Ms McKenzie,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Mr Morrison,Liberal Party of Australia,No
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr O'Connor,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,No
Ms Payne,Australian Labor Party,Aye
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Plibersek,Australian Labor Party,Aye
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,Aye
