Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Mr Burke,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Mr Butler,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Collins,Australian Labor Party,No
Mr Conroy,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Dr Gillespie,The Nationals,No
Mr Gorman,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,No
Mr Katter,Katter's Australian Party,Aye
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Ms Plibersek,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Rishworth,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms Rowland,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Swanson,Australian Labor Party,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr J Wilson,Australian Labor Party,No
Mr Zappia,Australian Labor Party,No
