Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Dr Charlton,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Mr Conroy,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Ms Kearney,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Mr McCormack,The Nationals,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr L O'Brien,Liberal National Party of Queensland,No
Ms Payne,Australian Labor Party,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Swanson,Australian Labor Party,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Ms Watson-Brown,Australian Greens,Aye
Mr Wilkie,Independent,Aye
Mr Zappia,Australian Labor Party,No
