Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mrs Andrews,Liberal National Party of Queensland,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Bell,Liberal National Party of Queensland,No
Mr Birrell,The Nationals,No
Mr Boyce,Liberal National Party of Queensland,No
Mr Broadbent,Independent,No
Mr Buchholz,Liberal National Party of Queensland,No
Mr Burns,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Mr Chester,The Nationals,No
Ms Chesters,Australian Labor Party,No
Ms Doyle,Australian Labor Party,No
Mr Dutton,Liberal National Party of Queensland,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Mr Gee,Independent,No
Dr Gillespie,The Nationals,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hamilton,Liberal National Party of Queensland,No
Mr Hastie,Liberal Party of Australia,No
Mr Hawke,Liberal Party of Australia,No
Mr Hogan,The Nationals,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Jones,Australian Labor Party,No
Mr Katter,Katter's Australian Party,No
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Ley,Liberal Party of Australia,No
Mr Littleproud,Liberal National Party of Queensland,No
Mrs Marino,Liberal Party of Australia,No
Ms McBride,Australian Labor Party,No
Mr McCormack,The Nationals,No
Mrs McIntosh,Liberal Party of Australia,No
Ms McKenzie,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Mr Morrison,Liberal Party of Australia,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr L O'Brien,Liberal National Party of Queensland,No
Mr Pasin,Liberal Party of Australia,No
Mr Pearce,Liberal Party of Australia,No
Mrs Phillips,Australian Labor Party,No
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Price,Liberal Party of Australia,No
Mr Rae,Australian Labor Party,No
Mr Ramsey,Liberal Party of Australia,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,No
Mr Stevens,Liberal Party of Australia,No
Mr Sukkar,Liberal Party of Australia,No
Ms Swanson,Australian Labor Party,No
Mr Taylor,Liberal Party of Australia,No
Mr Tehan,Liberal Party of Australia,No
Mr Thistlethwaite,Australian Labor Party,No
Mr Thompson,Liberal National Party of Queensland,No
Mr van Manen,Liberal National Party of Queensland,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Mr Wallace,Liberal National Party of Queensland,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Dr Webster,The Nationals,No
Mr Wilkie,Independent,Aye
Mr Willcox,Liberal National Party of Queensland,No
Mr R Wilson,Liberal Party of Australia,No
Mr Wolahan,Liberal Party of Australia,No
Mr Young,Liberal National Party of Queensland,No
