Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bates,Australian Greens,No
Mr Birrell,The Nationals,Aye
Mr Burnell,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Katter,Katter's Australian Party,No
Ms Kearney,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Mr Leeser,Liberal Party of Australia,Aye
Dr Leigh,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Pike,Liberal National Party of Queensland,Aye
Mr Pitt,Liberal National Party of Queensland,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Ms Swanson,Australian Labor Party,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Wilkie,Independent,No
Mr Wolahan,Liberal Party of Australia,Aye
Mr Young,Liberal National Party of Queensland,Aye
Mr Zappia,Australian Labor Party,Aye
