Member,Party,Vote
Mrs Andrews,Liberal National Party of Queensland,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Bell,Liberal National Party of Queensland,No
Ms Belyea,Australian Labor Party,No
Mr Birrell,The Nationals,No
Mr Boyce,Liberal National Party of Queensland,No
Mr Broadbent,Independent,No
Mr Buchholz,Liberal National Party of Queensland,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Mr Chester,The Nationals,No
Ms Claydon,Australian Labor Party,No
Mr Coleman,Liberal Party of Australia,No
Mr Conaghan,The Nationals,No
Mr Coulton,The Nationals,No
Ms Daniel,Independent,Aye
Mrs Elliot,Australian Labor Party,No
Mr Entsch,Liberal National Party of Queensland,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Dr Gillespie,The Nationals,No
Mr Goodenough,Liberal Party of Australia,No
Mr Gorman,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hastie,Liberal Party of Australia,No
Mr Hill,Australian Labor Party,No
Mr Hogan,The Nationals,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Joyce,The Nationals,No
Mr Katter,Katter's Australian Party,No
Mr Kennedy,Liberal Party of Australia,No
Ms Landry,Liberal National Party of Queensland,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,No
Mr Leeser,Liberal Party of Australia,No
Dr Leigh,Australian Labor Party,No
Ms Ley,Liberal Party of Australia,No
Mr Littleproud,Liberal National Party of Queensland,No
Mrs Marino,Liberal Party of Australia,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBain,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Mr McCormack,The Nationals,No
Mrs McIntosh,Liberal Party of Australia,No
Ms McKenzie,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr L O'Brien,Liberal National Party of Queensland,No
Mr Pasin,Liberal Party of Australia,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Price,Liberal Party of Australia,No
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Swanson,Australian Labor Party,No
Mr Taylor,Liberal Party of Australia,No
Mr Tehan,Liberal Party of Australia,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Mr Violi,Liberal Party of Australia,No
Mr Wallace,Liberal National Party of Queensland,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Dr Webster,The Nationals,No
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr R Wilson,Liberal Party of Australia,No
Mr Wolahan,Liberal Party of Australia,No
