Member,Party,Vote
Mrs Archer,Liberal Party of Australia,Aye
Mr Bates,Australian Greens,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,Aye
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coulton,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Mr Leeser,Liberal Party of Australia,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Pearce,Liberal Party of Australia,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,No
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Thistlethwaite,Australian Labor Party,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Watson-Brown,Australian Greens,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Zappia,Australian Labor Party,Aye
