Member,Party,Vote
Dr Aly,Australian Labor Party,No
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Dr Charlton,Australian Labor Party,No
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Mr Coleman,Liberal Party of Australia,No
Ms Collins,Australian Labor Party,No
Mr Conaghan,The Nationals,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hamilton,Liberal National Party of Queensland,No
Mr Katter,Katter's Australian Party,No
Ms Kearney,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms M. M. H. King,Australian Labor Party,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr B Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Swanson,Australian Labor Party,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Mr van Manen,Liberal National Party of Queensland,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr J Wilson,Australian Labor Party,No
Mr Zappia,Australian Labor Party,No
