Member,Party,Vote
Mr Albanese,Australian Labor Party,No
Dr Ananda-Rajah,Australian Labor Party,No
Mrs Andrews,Liberal National Party of Queensland,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Bell,Liberal National Party of Queensland,No
Mr Bowen,Australian Labor Party,No
Mr Boyce,Liberal National Party of Queensland,No
Mr Buchholz,Liberal National Party of Queensland,No
Mr Burnell,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Dr Charlton,Australian Labor Party,No
Mr Chester,The Nationals,No
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Mr Coleman,Liberal Party of Australia,No
Ms Collins,Australian Labor Party,No
Mr Conaghan,The Nationals,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Mr Entsch,Liberal National Party of Queensland,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Dr Gillespie,The Nationals,No
Mr Goodenough,Liberal Party of Australia,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,No
Mr Hastie,Liberal Party of Australia,No
Mr Hawke,Liberal Party of Australia,No
Mr Hill,Australian Labor Party,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Husic,Australian Labor Party,No
Mr Jones,Australian Labor Party,No
Mr Joyce,The Nationals,No
Ms Kearney,Australian Labor Party,No
Mr Kennedy,Liberal Party of Australia,No
Ms C King,Australian Labor Party,No
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Mr Leeser,Liberal Party of Australia,No
Dr Leigh,Australian Labor Party,No
Ms Ley,Liberal Party of Australia,No
Mr Lim,Australian Labor Party,No
Mr Littleproud,Liberal National Party of Queensland,No
Mrs Marino,Liberal Party of Australia,No
Mr Marles,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBain,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Mr McCormack,The Nationals,No
Mrs McIntosh,Liberal Party of Australia,No
Ms McKenzie,Liberal Party of Australia,No
Mr R Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr L O'Brien,Liberal National Party of Queensland,No
Mr Pasin,Liberal Party of Australia,No
Ms Payne,Australian Labor Party,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Price,Liberal Party of Australia,No
Mr Rae,Australian Labor Party,No
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,No
Ms Rishworth,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms Rowland,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Mr Stevens,Liberal Party of Australia,No
Mr Sukkar,Liberal Party of Australia,No
Mr Taylor,Liberal Party of Australia,No
Mr Tehan,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,No
Mr Thompson,Liberal National Party of Queensland,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Mr van Manen,Liberal National Party of Queensland,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Mr Wallace,Liberal National Party of Queensland,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr Willcox,Liberal National Party of Queensland,No
Mr J Wilson,Australian Labor Party,No
Mr Wolahan,Liberal Party of Australia,No
Mr Zappia,Australian Labor Party,No
