Member,Party,Vote
Dr Aly,Australian Labor Party,Aye
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Mr Bowen,Australian Labor Party,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Dr Charlton,Australian Labor Party,Aye
Ms Chesters,Australian Labor Party,Aye
Mr Clare,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Coker,Australian Labor Party,Aye
Mr Coleman,Liberal Party of Australia,Aye
Ms Collins,Australian Labor Party,Aye
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Dr Freelander,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hawke,Liberal Party of Australia,Aye
Mr Hill,Australian Labor Party,Aye
Mr Husic,Australian Labor Party,Aye
Ms Kearney,Australian Labor Party,Aye
Mr Keogh,Australian Labor Party,Aye
Mr Khalil,Australian Labor Party,Aye
Ms C King,Australian Labor Party,Aye
Ms M. M. H. King,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Ms McKenzie,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr L O'Brien,Liberal National Party of Queensland,Aye
Mr Ted O'Brien,Liberal National Party of Queensland,Aye
Mr O'Connor,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Ms Plibersek,Australian Labor Party,Aye
Ms Price,Liberal Party of Australia,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms Rowland,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Stevens,Liberal Party of Australia,Aye
Ms Swanson,Australian Labor Party,Aye
Ms Templeman,Australian Labor Party,Aye
Mr Thistlethwaite,Australian Labor Party,Aye
Mr Thompson,Liberal National Party of Queensland,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr Violi,Liberal Party of Australia,Aye
Mr Wallace,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Ms Wells,Australian Labor Party,Aye
Mr Wilkie,Independent,No
Mr J Wilson,Australian Labor Party,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Zappia,Australian Labor Party,Aye
