Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,Aye
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,No
Mr Bates,Australian Greens,No
Ms Bell,Liberal National Party of Queensland,Aye
Mr Boyce,Liberal National Party of Queensland,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Ms Collins,Australian Labor Party,Aye
Mr Conaghan,The Nationals,Aye
Ms Daniel,Independent,No
Mr Dreyfus,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Ms Fernando,Australian Labor Party,Aye
Dr Garland,Australian Labor Party,Aye
Mr Gee,Independent,No
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Dr Gillespie,The Nationals,Aye
Mr Goodenough,Liberal Party of Australia,Aye
Mr Gorman,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Hamilton,Liberal National Party of Queensland,Aye
Mr Hastie,Liberal Party of Australia,Aye
Mr Howarth,Liberal National Party of Queensland,Aye
Ms Landry,Liberal National Party of Queensland,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Dr Leigh,Australian Labor Party,Aye
Mr Lim,Australian Labor Party,Aye
Ms Mascarenhas,Australian Labor Party,Aye
Ms McBain,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mr McCormack,The Nationals,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr R Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Ms Murphy,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Mr Pasin,Liberal Party of Australia,Aye
Ms Payne,Australian Labor Party,Aye
Mr Perrett,Australian Labor Party,Aye
Mr Pitt,Liberal National Party of Queensland,Aye
Mr Rae,Australian Labor Party,Aye
Dr Reid,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,No
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Sukkar,Liberal Party of Australia,Aye
Mr Taylor,Liberal Party of Australia,Aye
Mr Tehan,Liberal Party of Australia,Aye
Ms Templeman,Australian Labor Party,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Vamvakinou,Australian Labor Party,Aye
Mr van Manen,Liberal National Party of Queensland,Aye
Ms Ware,Liberal Party of Australia,Aye
Ms Watson-Brown,Australian Greens,No
Mr Wilkie,Independent,No
Mr Willcox,Liberal National Party of Queensland,Aye
Mr J Wilson,Australian Labor Party,Aye
Mr Wolahan,Liberal Party of Australia,Aye
Mr Zappia,Australian Labor Party,Aye
