Member,Party,Vote
Mr Bandt,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Collins,Australian Labor Party,No
Ms Daniel,Independent,Aye
Dr Garland,Australian Labor Party,No
Mr Gee,Independent,Aye
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Mr Lim,Australian Labor Party,No
Mrs McIntosh,Liberal Party of Australia,No
Ms Miller-Frost ,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Mrs Phillips,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr M Ryan,Independent,Aye
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Mr Sukkar,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,No
Mr Thistlethwaite,Australian Labor Party,No
Ms Tink,Independent,Aye
Mr van Manen,Liberal National Party of Queensland,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Ms Wells,Australian Labor Party,No
Mr Wilkie,Independent,Aye
