Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,Aye
Mr Bandt,Australian Greens,No
Ms Belyea,Australian Labor Party,Aye
Mr Burke,Australian Labor Party,Aye
Mr Burnell,Australian Labor Party,Aye
Ms Burney,Australian Labor Party,Aye
Mr Burns,Australian Labor Party,Aye
Mr Butler,Australian Labor Party,Aye
Ms Byrnes,Australian Labor Party,Aye
Dr Chalmers,Australian Labor Party,Aye
Mr Chandler-Mather,Australian Greens,No
Ms Chaney,Independent,No
Ms Chesters,Australian Labor Party,Aye
Mr Clare,Australian Labor Party,Aye
Ms Claydon,Australian Labor Party,Aye
Mr Conroy,Australian Labor Party,Aye
Ms Daniel,Independent,No
Ms Doyle,Australian Labor Party,Aye
Mrs Elliot,Australian Labor Party,Aye
Mr Fletcher,Liberal Party of Australia,Aye
Mr Georganas,Australian Labor Party,Aye
Mr Giles,Australian Labor Party,Aye
Mr Gorman,Australian Labor Party,Aye
Mr Gosling,Australian Labor Party,Aye
Dr Haines,Independent,No
Mr Katter,Katter's Australian Party,Aye
Mr Keogh,Australian Labor Party,Aye
Ms Lawrence,Australian Labor Party,Aye
Mr Laxale,Australian Labor Party,Aye
Ms Le,Independent,No
Mr Lim,Australian Labor Party,Aye
Mr Marles,Australian Labor Party,Aye
Ms McBride,Australian Labor Party,Aye
Mrs McIntosh,Liberal Party of Australia,Aye
Ms Miller-Frost ,Australian Labor Party,Aye
Mr B Mitchell,Australian Labor Party,Aye
Dr Mulino,Australian Labor Party,Aye
Mr Neumann,Australian Labor Party,Aye
Ms O'Neil,Australian Labor Party,Aye
Mr Perrett,Australian Labor Party,Aye
Mrs Phillips,Australian Labor Party,Aye
Ms Plibersek,Australian Labor Party,Aye
Mr Rae,Australian Labor Party,Aye
Mr Repacholi,Australian Labor Party,Aye
Ms Rishworth,Australian Labor Party,Aye
Ms Roberts,Australian Labor Party,Aye
Ms J Ryan,Australian Labor Party,Aye
Dr M Ryan,Independent,No
Dr Scamps,Independent,No
Ms Scrymgour,Australian Labor Party,Aye
Ms Sharkie,Centre Alliance,Aye
Mr Shorten,Australian Labor Party,Aye
Ms Sitou,Australian Labor Party,Aye
Mr Smith,Australian Labor Party,Aye
Ms Spender,Independent,No
Ms Stanley,Australian Labor Party,Aye
Ms Steggall,Independent,No
Mr Tehan,Liberal Party of Australia,Aye
Ms Thwaites,Australian Labor Party,Aye
Ms Tink,Independent,No
Ms Watson-Brown,Australian Greens,No
Mr Watts,Australian Labor Party,Aye
Mr Wilkie,Independent,No
