Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mrs Andrews,Liberal National Party of Queensland,No
Mrs Archer,Liberal Party of Australia,Aye
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Bell,Liberal National Party of Queensland,No
Mr Birrell,The Nationals,No
Mr Burke,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Burney,Australian Labor Party,No
Mr Burns,Australian Labor Party,No
Mr Butler,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Caldwell,Liberal National Party of Queensland,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Dr Charlton,Australian Labor Party,No
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Mr Conroy,Australian Labor Party,No
Mr Coulton,The Nationals,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Mr Fletcher,Liberal Party of Australia,No
Dr Freelander,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Mr Giles,Australian Labor Party,No
Dr Gillespie,The Nationals,No
Mr Goodenough,Liberal Party of Australia,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hastie,Liberal Party of Australia,No
Mr Hill,Australian Labor Party,No
Mr Howarth,Liberal National Party of Queensland,No
Mr Jones,Australian Labor Party,No
Mr Katter,Katter's Australian Party,No
Mr Keogh,Australian Labor Party,No
Mr Khalil,Australian Labor Party,No
Ms C King,Australian Labor Party,No
Ms Landry,Liberal National Party of Queensland,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Mr Leeser,Liberal Party of Australia,No
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Mr Littleproud,Liberal National Party of Queensland,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBain,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms McKenzie,Liberal Party of Australia,No
Mr R Mitchell,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Mr L O'Brien,Liberal National Party of Queensland,No
Mr Pasin,Liberal Party of Australia,No
Mrs Phillips,Australian Labor Party,No
Mr Pike,Liberal National Party of Queensland,No
Mr Pitt,Liberal National Party of Queensland,No
Ms Price,Liberal Party of Australia,No
Mr Rae,Australian Labor Party,No
Mr Ramsey,Liberal Party of Australia,No
Dr Reid,Australian Labor Party,No
Mr Repacholi,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,Aye
Ms Sitou,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Mr Stevens,Liberal Party of Australia,No
Ms Swanson,Australian Labor Party,No
Mr Taylor,Liberal Party of Australia,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Mr van Manen,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Mr Wallace,Liberal National Party of Queensland,No
Ms Ware,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr J Wilson,Australian Labor Party,No
Mr Wolahan,Liberal Party of Australia,No
Mr Young,Liberal National Party of Queensland,No
Mr Zappia,Australian Labor Party,No
