Member,Party,Vote
Dr Ananda-Rajah,Australian Labor Party,No
Mr Bandt,Australian Greens,Aye
Mr Bates,Australian Greens,Aye
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Byrnes,Australian Labor Party,No
Mr Chandler-Mather,Australian Greens,Aye
Ms Chaney,Independent,Aye
Dr Charlton,Australian Labor Party,No
Ms Chesters,Australian Labor Party,No
Ms Coker,Australian Labor Party,No
Ms Daniel,Independent,Aye
Mr Dreyfus,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Ms Fernando,Australian Labor Party,No
Dr Garland,Australian Labor Party,No
Mr Georganas,Australian Labor Party,No
Dr Gillespie,The Nationals,No
Mr Gorman,Australian Labor Party,No
Mr Gosling,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,No
Ms C King,Australian Labor Party,No
Ms Lawrence,Australian Labor Party,No
Mr Laxale,Australian Labor Party,No
Ms Le,Independent,Aye
Dr Leigh,Australian Labor Party,No
Mr Lim,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms McBride,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Mr R Mitchell,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Ms Payne,Australian Labor Party,No
Mr Pearce,Liberal Party of Australia,No
Mr Perrett,Australian Labor Party,No
Ms Plibersek,Australian Labor Party,No
Mr Rae,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Ms Sharkie,Centre Alliance,Aye
Mr Smith,Australian Labor Party,No
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Swanson,Australian Labor Party,No
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Ms Vamvakinou,Australian Labor Party,No
Mr Vasta,Liberal National Party of Queensland,No
Mr Violi,Liberal Party of Australia,No
Ms Watson-Brown,Australian Greens,Aye
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
Mr Zappia,Australian Labor Party,No
