Member,Party,Vote
Ms Belyea,Australian Labor Party,No
Mr Burnell,Australian Labor Party,No
Ms Chaney,Independent,Aye
Ms Chesters,Australian Labor Party,No
Ms Claydon,Australian Labor Party,No
Ms Daniel,Independent,Aye
Ms Doyle,Australian Labor Party,No
Mrs Elliot,Australian Labor Party,No
Mr Entsch,Liberal National Party of Queensland,No
Mr Fletcher,Liberal Party of Australia,No
Mr Georganas,Australian Labor Party,No
Mr Gorman,Australian Labor Party,No
Dr Haines,Independent,Aye
Mr Hill,Australian Labor Party,No
Dr Leigh,Australian Labor Party,No
Ms Mascarenhas,Australian Labor Party,No
Ms Miller-Frost ,Australian Labor Party,No
Dr Mulino,Australian Labor Party,No
Mr Neumann,Australian Labor Party,No
Mr Ted O'Brien,Liberal National Party of Queensland,No
Ms Payne,Australian Labor Party,No
Mr Perrett,Australian Labor Party,No
Dr Reid,Australian Labor Party,No
Ms Roberts,Australian Labor Party,No
Ms J Ryan,Australian Labor Party,No
Dr Scamps,Independent,Aye
Ms Scrymgour,Australian Labor Party,No
Mr Smith,Australian Labor Party,No
Ms Spender,Independent,Aye
Ms Stanley,Australian Labor Party,No
Ms Steggall,Independent,Aye
Ms Templeman,Australian Labor Party,No
Ms Thwaites,Australian Labor Party,No
Ms Tink,Independent,Aye
Mr Vasta,Liberal National Party of Queensland,No
Mr Watts,Australian Labor Party,No
Mr Wilkie,Independent,Aye
